Date,
7/17/2019,29
7/18/2019,29
7/19/2019,29
7/22/2019,28
7/23/2019,28
7/24/2019,28
7/25/2019,28
7/26/2019,28
7/29/2019,27
7/30/2019,27
7/31/2019,27
8/1/2019,27
8/2/2019,27
8/5/2019,27
8/6/2019,27
8/7/2019,27
8/8/2019,27
8/9/2019,27
8/12/2019,31
8/13/2019,31
8/14/2019,31
8/15/2019,31
8/16/2019,31
8/19/2019,33
8/20/2019,33
8/21/2019,33
8/22/2019,33
8/23/2019,33
8/26/2019,28
8/27/2019,28
8/28/2019,28
8/29/2019,28
8/30/2019,28
9/3/2019,27
9/4/2019,27
9/5/2019,27
9/6/2019,27
9/9/2019,26
9/10/2019,26
9/11/2019,26
9/12/2019,26
9/13/2019,26
9/16/2019,23
9/17/2019,23
9/18/2019,23
9/19/2019,23
9/20/2019,23
9/23/2019,24
9/24/2019,24
9/25/2019,24
9/26/2019,24
9/27/2019,24
9/30/2019,25
10/1/2019,25
10/2/2019,25
10/3/2019,25
10/4/2019,25
10/7/2019,26
10/8/2019,26
10/9/2019,26
10/10/2019,26
10/11/2019,26
10/14/2019,25
10/15/2019,25
10/16/2019,25
10/17/2019,25
10/18/2019,25
10/21/2019,28
10/22/2019,28
10/23/2019,28
10/24/2019,28
10/25/2019,28
10/28/2019,33
10/29/2019,33
10/30/2019,33
10/31/2019,33
11/1/2019,33
11/4/2019,30
11/5/2019,30
11/6/2019,30
11/7/2019,30
11/8/2019,30
11/11/2019,33
11/12/2019,33
11/13/2019,33
11/14/2019,33
11/15/2019,33
11/18/2019,30
11/19/2019,30
11/20/2019,30
11/21/2019,30
11/22/2019,30
11/25/2019,34
11/26/2019,34
11/27/2019,34
11/29/2019,34
12/2/2019,31
12/3/2019,31
12/4/2019,31
12/5/2019,31
12/6/2019,31
12/9/2019,28
12/10/2019,28
12/11/2019,28
12/12/2019,28
12/13/2019,28
12/16/2019,28
12/17/2019,28
12/18/2019,28
12/19/2019,28
12/20/2019,28
12/23/2019,30
12/24/2019,30
12/26/2019,30
12/27/2019,30
12/30/2019,31
12/31/2019,31
1/2/2020,31
1/3/2020,31
1/6/2020,29
1/7/2020,29
1/8/2020,29
1/9/2020,29
1/10/2020,29
1/13/2020,29
1/14/2020,29
1/15/2020,29
1/16/2020,29
1/17/2020,29
1/21/2020,29
1/22/2020,29
1/23/2020,29
1/24/2020,29
1/27/2020,27
1/28/2020,27
1/29/2020,27
1/30/2020,27
1/31/2020,27
2/3/2020,30
2/4/2020,30
2/5/2020,30
2/6/2020,30
2/7/2020,30
2/10/2020,33
2/11/2020,33
2/12/2020,33
2/13/2020,33
2/14/2020,33
2/18/2020,32
2/19/2020,32
2/20/2020,32
2/21/2020,32
2/24/2020,31
2/25/2020,31
2/26/2020,31
2/27/2020,31
2/28/2020,31
3/2/2020,30
3/3/2020,30
3/4/2020,30
3/5/2020,30
3/6/2020,30
3/9/2020,31
3/10/2020,31
3/11/2020,31
3/12/2020,31
3/13/2020,31
3/16/2020,36
3/17/2020,36
3/18/2020,36
3/19/2020,36
3/20/2020,36
3/23/2020,36
3/24/2020,36
3/25/2020,36
3/26/2020,36
3/27/2020,36
3/30/2020,33
3/31/2020,33
4/1/2020,33
4/2/2020,33
4/3/2020,33
4/6/2020,33
4/7/2020,33
4/8/2020,33
4/9/2020,33
4/13/2020,34
4/14/2020,34
4/15/2020,34
4/16/2020,34
4/17/2020,34
4/20/2020,40
4/21/2020,40
4/22/2020,40
4/23/2020,40
4/24/2020,40
4/27/2020,36
4/28/2020,36
4/29/2020,36
4/30/2020,36
5/1/2020,36
5/4/2020,35
5/5/2020,35
5/6/2020,35
5/7/2020,35
5/8/2020,35
5/11/2020,40
5/12/2020,40
5/13/2020,40
5/14/2020,40
5/15/2020,40
5/18/2020,46
5/19/2020,46
5/20/2020,46
5/21/2020,46
5/22/2020,46
5/26/2020,34
5/27/2020,34
5/28/2020,34
5/29/2020,34
6/1/2020,31
6/2/2020,31
6/3/2020,31
6/4/2020,31
6/5/2020,31
6/8/2020,35
6/9/2020,35
6/10/2020,35
6/11/2020,35
6/12/2020,35
6/15/2020,33
6/16/2020,33
6/17/2020,33
6/18/2020,33
6/19/2020,33
6/22/2020,30
6/23/2020,30
6/24/2020,30
6/25/2020,30
6/26/2020,30
6/29/2020,32
6/30/2020,32
7/1/2020,32
7/2/2020,32
7/6/2020,37
7/7/2020,37
7/8/2020,37
7/9/2020,37
7/10/2020,37
7/13/2020,40
7/14/2020,40
7/15/2020,40
7/16/2020,40
7/17/2020,40
7/20/2020,36
7/21/2020,36
7/22/2020,36
7/23/2020,36
7/24/2020,36
7/27/2020,36
7/28/2020,36
7/29/2020,36
7/30/2020,36
7/31/2020,36
8/3/2020,36
8/4/2020,36
8/5/2020,36
8/6/2020,36
8/7/2020,36
8/10/2020,37
8/11/2020,37
8/12/2020,37
8/13/2020,37
8/14/2020,37
8/17/2020,48
8/18/2020,48
8/19/2020,48
8/20/2020,48
8/21/2020,48
8/24/2020,42
8/25/2020,42
8/26/2020,42
8/27/2020,42
8/28/2020,42
8/31/2020,100
9/1/2020,100
9/2/2020,100
9/3/2020,100
9/4/2020,100
9/8/2020,66
9/9/2020,66
9/10/2020,66
9/11/2020,66
9/14/2020,96
9/15/2020,96
9/16/2020,96
9/17/2020,96
9/18/2020,96
9/21/2020,65
9/22/2020,65
9/23/2020,65
9/24/2020,65
9/25/2020,65
9/28/2020,50
9/29/2020,50
9/30/2020,50
10/1/2020,50
10/2/2020,50
10/5/2020,45
10/6/2020,45
10/7/2020,45
10/8/2020,45
10/9/2020,45
10/12/2020,39
10/13/2020,39
10/14/2020,39
