Date,TSMC_googl
7/16/2019,12
7/17/2019,12
7/18/2019,12
7/19/2019,12
7/22/2019,11
7/23/2019,11
7/24/2019,11
7/25/2019,11
7/26/2019,11
7/29/2019,7
7/30/2019,7
7/31/2019,7
8/1/2019,7
8/2/2019,7
8/5/2019,11
8/6/2019,11
8/7/2019,11
8/8/2019,11
8/9/2019,11
8/12/2019,9
8/13/2019,9
8/14/2019,9
8/15/2019,9
8/16/2019,9
8/19/2019,13
8/20/2019,13
8/21/2019,13
8/22/2019,13
8/23/2019,13
8/26/2019,14
8/27/2019,14
8/28/2019,14
8/29/2019,14
8/30/2019,14
9/3/2019,10
9/4/2019,10
9/5/2019,10
9/6/2019,10
9/9/2019,10
9/10/2019,10
9/11/2019,10
9/12/2019,10
9/13/2019,10
9/16/2019,9
9/17/2019,9
9/18/2019,9
9/19/2019,9
9/20/2019,9
9/23/2019,12
9/24/2019,12
9/25/2019,12
9/26/2019,12
9/27/2019,12
9/30/2019,10
10/1/2019,10
10/2/2019,10
10/3/2019,10
10/4/2019,10
10/7/2019,11
10/8/2019,11
10/9/2019,11
10/10/2019,11
10/11/2019,11
10/14/2019,13
10/15/2019,13
10/16/2019,13
10/17/2019,13
10/18/2019,13
10/21/2019,14
10/22/2019,14
10/23/2019,14
10/24/2019,14
10/25/2019,14
10/28/2019,12
10/29/2019,12
10/30/2019,12
10/31/2019,12
11/1/2019,12
11/4/2019,11
11/5/2019,11
11/6/2019,11
11/7/2019,11
11/8/2019,11
11/11/2019,10
11/12/2019,10
11/13/2019,10
11/14/2019,10
11/15/2019,10
11/18/2019,11
11/19/2019,11
11/20/2019,11
11/21/2019,11
11/22/2019,11
11/25/2019,7
11/26/2019,7
11/27/2019,7
11/29/2019,7
12/2/2019,11
12/3/2019,11
12/4/2019,11
12/5/2019,11
12/6/2019,11
12/9/2019,12
12/10/2019,12
12/11/2019,12
12/12/2019,12
12/13/2019,12
12/16/2019,13
12/17/2019,13
12/18/2019,13
12/19/2019,13
12/20/2019,13
12/23/2019,11
12/24/2019,11
12/26/2019,11
12/27/2019,11
12/30/2019,15
12/31/2019,15
1/2/2020,15
1/3/2020,15
1/6/2020,15
1/7/2020,15
1/8/2020,15
1/9/2020,15
1/10/2020,15
1/13/2020,19
1/14/2020,19
1/15/2020,19
1/16/2020,19
1/17/2020,19
1/21/2020,18
1/22/2020,18
1/23/2020,18
1/24/2020,18
1/27/2020,13
1/28/2020,13
1/29/2020,13
1/30/2020,13
1/31/2020,13
2/3/2020,12
2/4/2020,12
2/5/2020,12
2/6/2020,12
2/7/2020,12
2/10/2020,13
2/11/2020,13
2/12/2020,13
2/13/2020,13
2/14/2020,13
2/18/2020,14
2/19/2020,14
2/20/2020,14
2/21/2020,14
2/24/2020,13
2/25/2020,13
2/26/2020,13
2/27/2020,13
2/28/2020,13
3/2/2020,12
3/3/2020,12
3/4/2020,12
3/5/2020,12
3/6/2020,12
3/9/2020,13
3/10/2020,13
3/11/2020,13
3/12/2020,13
3/13/2020,13
3/16/2020,14
3/17/2020,14
3/18/2020,14
3/19/2020,14
3/20/2020,14
3/23/2020,18
3/24/2020,18
3/25/2020,18
3/26/2020,18
3/27/2020,18
3/30/2020,13
3/31/2020,13
4/1/2020,13
4/2/2020,13
